pickup_zone,dropoff_zone,number_of_dropoffs,rank
Windsor Terrace,Kensington,49,4
Windsor Terrace,Prospect-Lefferts Gardens,48,5
Woodhaven,Woodhaven,73,1
Woodhaven,Elmhurst,63,2
Woodhaven,Forest Hills,24,3
Woodhaven,Richmond Hill,24,3
Woodhaven,Ozone Park,20,5
Woodlawn/Wakefield,Woodlawn/Wakefield,40,1
Woodlawn/Wakefield,Van Cortlandt Park,9,2
Woodlawn/Wakefield,Eastchester,7,3
Woodlawn/Wakefield,Williamsbridge/Olinville,5,4
Woodlawn/Wakefield,Norwood,5,4
Woodlawn/Wakefield,Central Harlem North,5,4
Woodside,Woodside,2210,1
Woodside,Sunnyside,2111,2
Woodside,Astoria,1179,3
Woodside,Jackson Heights,1161,4
Woodside,Elmhurst,883,5
World Trade Center,TriBeCa/Civic Center,7978,1
World Trade Center,Times Sq/Theatre District,5081,2
World Trade Center,Battery Park City,3495,3
World Trade Center,East Chelsea,3457,4
World Trade Center,SoHo,3429,5
Yorkville East,Upper East Side North,44231,1
Yorkville East,Lenox Hill East,21414,2
Yorkville East,Upper East Side South,21113,3
Yorkville East,Lenox Hill West,19750,4
Yorkville East,Yorkville West,19255,5
Yorkville West,Lenox Hill West,43768,1
Yorkville West,Upper East Side North,40443,2
Yorkville West,Yorkville West,23761,3
Yorkville West,Upper East Side South,23202,4
Yorkville West,East Harlem South,21860,5
